participant_id,attempt,force,success
0,0,2.089683022988795,False
0,1,1.8359692625775812,True
0,2,1.8799649383537502,True
1,0,1.6243745570094223,False
1,1,1.7564293762626635,True
1,2,1.8547251733979209,True
2,0,1.7047353902916893,True
2,1,1.9337391296568853,True
2,2,1.7872886234172138,True
3,0,1.8773974303514096,True
3,1,1.8308955009859917,True
3,2,2.198993220496742,False
4,0,1.8312677475531431,True
4,1,1.6746356919204481,True
4,2,1.9566740680793115,True
5,0,1.6501666046568875,True
5,1,1.8646226914032542,True
5,2,1.5393426335705747,False
6,0,1.724732733440605,True
6,1,1.953489826155738,True
6,2,2.034730627774681,True
7,0,1.909076978636141,True
7,1,1.8660244940994093,True
7,2,1.8382061821192521,True
8,0,1.5997479821481382,False
8,1,1.713549649444046,True
8,2,1.7524304650592843,True
9,0,2.0306963361121357,True
9,1,1.9236707456145674,True
9,2,1.607671978874888,False
10,0,1.8704417107685962,True
10,1,1.7640667732969293,True
10,2,1.720290815313483,True
11,0,1.9134649556476173,True
11,1,1.9763634406958799,True
11,2,1.9614055301889168,True
12,0,1.7312154850949057,True
12,1,1.8107162572006197,True
12,2,1.906787628288836,True
13,0,1.895667756835464,True
13,1,1.6774598520903168,True
13,2,1.7214871412675374,True
14,0,1.5928038622734442,False
14,1,1.5793231147622477,False
14,2,1.880632981733478,True
15,0,2.020321627823575,True
15,1,1.8060841053009014,True
15,2,1.967415558221755,True
16,0,1.8486038477404239,True
16,1,1.6975904807925102,True
16,2,1.8485677848095408,True
17,0,2.091417851599659,False
17,1,1.8553384607632708,True
17,2,2.0954089150018644,False
18,0,1.4066370306104778,False
18,1,1.922884171880223,True
18,2,1.812655856459665,True
19,0,1.7295337123633552,True
19,1,1.7881489314135606,True
19,2,1.4762494777431014,False
